ICAO,NAME,GAF_AREA,LAT,LONG
YABA,Albany,WA-S,-34.94344,117.8089
YBUN,Bunbury,WA-S,-33.378,115.677
YBLN,Busselton,WA-S,-33.68729,115.40026
YCAR,Carnarvon,WA-S,-24.88068,113.67209
YCUN,Cunderdin,WA-S,-31.62222,117.21667
YEST,Esperance,WA-S,-33.68444,121.82264
YFRT,Forrest,WA-S,-30.84389,128.11944
YGEL,Geraldton,WA-S,-28.79621,114.7075
YGLS,Giles,WA-S,-25.05,128.3
YGGE,Golden Grove,WA-S,-28.765,116.9717
YPJT,Jandakot,WA-S,-32.095,115.87444
YPKG,Kalgoorlie,WA-S,-30.78938,121.46173
YLST,Leinster,WA-S,-27.8434,120.70323
YLEO,Leonora,WA-S,-28.87812,121.31465
YMEK,Meekatharra,WA-S,-26.61175,118.54768
YMOG,Mount Magnet,WA-S,-28.11616,117.84173
YPEA,Pearce,WA-S,-31.66768,116.01506
YPPH,Perth,WA-S,-31.94389,115.97306
YSHK,Shark Bay,WA-S,-25.89387,113.57723
YSCR,Southern Cross,WA-S,-31.2403,119.35979
YTRA,Tropicana,WA-S,-29.18667,124.55028
YWBR,Warburton ,WA-S,-26.12833,126.58333
YWMO,West Musgrave,WA-S,-26.0545,127.6907
YWLU,Wiluna,WA-S,-26.62925,120.22054
YARG,Argyle,WA-N,-16.63684,128.45134
YBRY,Barimunya,WA-N,-22.6719,119.1628
YBWX,Barrow island,WA-N,-20.86452,115.40606
YBGD,Boolgeeda,WA-N,-22.54111,117.26944
YBRM,Broome,WA-N,-17.94958,122.22774
YCHK,Christmas Creek,WA-N,-22.3562,119.6497
YPXM,Christmas Island,WA-N,-10.45059,105.69035
YPCC,Cocos Island,WA-N,-12.18865,96.83048
YCWA,Coondewanna,WA-N,-22.965,118.8089
YCIN,Curtin/Derby South,WA-N,-17.58145,123.82819
YDBY,Derby,WA-N,-17.3701,123.66065
YEWA,Eliwana,WA-N,-22.4281,116.8867
YFTZ,Fitzroy Crossing,WA-N,-18.182,125.55867
YFDF,Fortescue Dave Forrest,WA-N,-22.29183,119.43733
